rank,name,college,class,pos,CmpPct,pass yards,Tds,ints,P rating,year
1,Drew Mestemaker,N Texas,FR,QB,68.9,4379,34,9,168.69,2025
2,Darian Mensah,Duke,SO,QB,66.8,3973,34,6,153.59,2025
3,Trinidad Chambliss,Miss,SR,QB,66.1,3937,22,3,155.35,2025
4,Carson Beck,Miami (Fl),SR,QB,72.4,3813,30,12,157.03,2025
5,Jayden Maiava,USC,JR,QB,65.8,3711,24,10,157.80,2025
6,Nick Minicucci,Delaware,JR,QB,62.9,3683,23,7,135.40,2025
7,Sawyer Robertson,Baylor,SR,QB,60.3,3681,31,12,137.21,2025
8,Caden Veltkamp,FAU,JR,QB,67.0,3641,24,17,135.16,2025
8,Kevin Jennings,SMU,JR,QB,66.1,3641,26,13,146.62,2025
10,Julian Sayin,Ohio State,SO,QB,77.0,3610,32,8,177.46,2025
11,Ty Simpson,Alabama,JR,QB,64.5,3567,28,5,145.25,2025
12,Joey Aguilar,Tennessee,SR,QB,67.3,3565,24,10,156.11,2025
12,Dante Moore,Oregon,SO,QB,71.8,3565,30,10,163.72,2025
14,Diego Pavia,Vanderbilt,SR,QB,70.6,3539,29,8,170.37,2025
15,Fernando Mendoza,Indiana,JR,QB,72.0,3535,41,6,182.91,2025
16,Josh Hoover,TCU,JR,QB,65.9,3472,29,13,153.35,2025
17,Anthony Colandrea,UNLV,JR,QB,65.9,3459,23,9,149.51,2025
18,Jaron-Keawe Sagapolutele,California,FR,QB,64.2,3454,18,9,131.61,2025
19,Joe Fagnano,UConn,SR,QB,69.0,3448,28,1,161.03,2025
20,Jaylen Raynor,Ark St,JR,QB,66.5,3361,19,11,130.95,2025
21,Katin Houser,ECU,JR,QB,65.9,3300,19,6,146.30,2025
22,Jacob Clark,MO State,SR,QB,65.7,3244,28,11,156.90,2025
23,Noah Fifita,Arizona,JR,QB,64.3,3228,29,6,147.16,2025
24,Brad Jackson,Texas St,FR,QB,71.3,3224,21,7,163.96,2025
25,Marcel Reed,Texas A&M,SO,QB,62.1,3169,25,12,148.19,2025
